tractid,NAME10,NAMELSAD10,NAME,cc_hpoz_approval_treatment,pre_untreated,pre_treated,post_untreated,post_treated,pnhwht19,pcol19,hinc19,pown19,pnhwht12,pcol12,hinc12,pown12,POP00,NHWHT00,OWN00,POP90,OWN90,pnhwhite90,pown90,pnhwhite00,pown00
06037121102,1211.02,Census Tract 1211.02,Stonehurst,2008-08-12,6,1,74,0,45.945945945946,21.6157205240175,48750,61.2823674475956,34.3762221353148,20.771001150748,61351,65.3439153439153,2645,1069,618,2475.150066,521.5004673,42.30984478013463,21.06944845339329,40.41587901701323,23.364839319470697
06037106645,1066.45,Census Tract 1066.45,Balboa Highlands,2010-02-12,1,0,1,0,61.5068493150685,42.262132212457,113940,91.2775330396476,66.3306451612903,51.2173913043478,110083,94.5851528384279,3282,2265,1099,3147.529812,923.6424217,70.51659947867715,29.344993593979655,69.01279707495429,33.48567946374162
06037183104,1831.04,Census Tract 1831.04,Highland Park - Garvanza,2010-09-22,11,2,11,2,26.0018639328984,37.0826010544815,92806,67.9269882659713,21.7577197149644,29.7830374753452,74940,73.6631016042781,2055,508,498,1910.139305,276.6549318,29.148638224582264,14.483495055874995,24.720194647201946,24.233576642335766
06037183103,1831.03,Census Tract 1831.03,Highland Park - Garvanza,2010-09-22,20,2,31,3,13.2491389207807,25.1994680851064,61719,18.6294078509647,14.3508583690987,32.4040404040404,46667,14.3266475644699,3960,527,283,3599.070246,521.2711344,29.14863823972165,14.483494312992079,13.308080808080808,7.146464646464647
06037127805,1278.05,Census Tract 1278.05,Van Nuys,2005-11-16,0,1,445,1,18.0038599393438,17.8585697163404,49457,23.2053422370618,25.2522987216865,21.2866284944426,48995,24.7568523430592,3588,1061,291,3213.001189,276.5287781,44.48297603789028,8.606556980019842,29.57079152731327,8.110367892976589
06037219010,2190.1,Census Tract 2190.10,Jefferson Park,2011-06-28,6,3,4,39,3.33663693425834,15.1428571428571,54708,46.6811751904244,3.64963503649635,13.0091984231275,40125,42.8571428571429,2604,41,396,2483.406639,376.5509033,1.212400245580563,15.162676034869055,1.574500768049155,15.207373271889402
06037221220,2212.2,Census Tract 2212.20,Harvard Heights,2000-08-02,0,0,102,0,3.28791469194313,15.6813417190776,43611,16.5674603174603,1.87388459250446,12.4270973530731,30556,14.5161290322581,3558,122,149,4597.186951,223.4061279,3.2207496079269196,4.859626773529489,3.4288926363125354,4.1877459246767845
06037219020,2190.2,Census Tract 2190.20,Jefferson Park,2011-06-28,3,56,7,0,6.02476436887821,19.9087278950371,59180,47.1956224350205,1.30146710837672,9.77695167286245,48056,56.0457516339869,4368,37,625,4032.593176,611.4490356,1.2124002456031533,15.162675948544532,0.8470695970695971,14.308608058608058
06037221110,2211.1,Census Tract 2211.10,Pico - Union,2004-08-03,1,0,63,0,2.10526315789474,6.50205761316872,34868,11.5384615384615,4.60088691796009,4.73729543496985,24087,7.7634011090573,3819,113,84,3199.377692,70.6245575,2.3005319148171397,2.2074467067953787,2.958889761717727,2.199528672427337
06037221120,2211.2,Census Tract 2211.20,Pico - Union,2004-08-03,9,0,49,0,1.62652486706287,6.9743051914001,38060,9.19952210274791,0.820152314001172,5.27589545014521,29919,13.9902676399027,3373,67,106,4320.62209,95.37543488,2.3005319150696653,2.207446818844552,1.9863622887637118,3.142603024014231
