STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,hpoz_present,OBJECTID,NAME,GlobalID,Shape__Are,Shape__Len,cc_hpoz_approval_treatment,Expansion Approved,Notes,hpoz_count
06,037,121102,06037121102,1211.02,Census Tract 1211.02,G5020,S,7458077,82268,+34.2375326,-118.3841883,TRUE,37,Stonehurst,eadcf8c5-ac8d-4ad8-bdeb-41144ef21550,2202125.5458984375,11439.489320560668,2008-08-12,NA,NA,1
06,037,106645,06037106645,1066.45,Census Tract 1066.45,G5020,S,2527931,0,+34.2905628,-118.4941725,TRUE,1,Balboa Highlands,ca9934e3-1d0b-4a82-9f26-6fadf10e90ef,1642466.2119140625,7878.515343549823,2010-02-12,NA,NA,1
06,037,183104,06037183104,1831.04,Census Tract 1831.04,G5020,S,668801,5710,+34.1236781,-118.1723137,TRUE,24,Highland Park - Garvanza,863e9482-8258-4f1d-bc67-1dcd48390b56,42763721.59667969,81772.45642022697,2010-09-22,2010,Expanded to Garvanza,1
06,037,183103,06037183103,1831.03,Census Tract 1831.03,G5020,S,638536,18088,+34.1156486,-118.1749059,TRUE,24,Highland Park - Garvanza,863e9482-8258-4f1d-bc67-1dcd48390b56,42763721.59667969,81772.45642022697,2010-09-22,2010,Expanded to Garvanza,1
06,037,127805,06037127805,1278.05,Census Tract 1278.05,G5020,S,614498,0,+34.1921963,-118.4576889,TRUE,2,Van Nuys,c6103806-a403-4247-952d-13635a8bdeb8,2658829.9921875,12146.880621186858,2005-11-16,NA,NA,1
06,037,219010,06037219010,2190.10,Census Tract 2190.10,G5020,S,440857,0,+34.0276144,-118.3229262,TRUE,25,Jefferson Park,6aa71ec7-18ff-4062-be2f-6fee1b1190df,18538755.96484375,19765.998533033333,2011-06-28,NA,NA,1
06,037,221220,06037221220,2212.20,Census Tract 2212.20,G5020,S,659408,0,+34.0435737,-118.2960214,TRUE,5,Harvard Heights,b99c778d-f019-4204-b398-73639f2f81f5,9021732.720703125,12487.650240138266,2000-08-02,NA,NA,1
06,037,219020,06037219020,2190.20,Census Tract 2190.20,G5020,S,726494,0,+34.0222083,-118.3226729,TRUE,25,Jefferson Park,6aa71ec7-18ff-4062-be2f-6fee1b1190df,18538755.96484375,19765.998533033333,2011-06-28,NA,NA,1
06,037,221110,06037221110,2211.10,Census Tract 2211.10,G5020,S,234230,0,+34.0457195,-118.2878287,TRUE,39,Pico - Union,43e937f4-895c-447f-a523-fef70b29aafb,8919383.03515625,27671.783274758945,2004-08-03,NA,NA,1
06,037,221120,06037221120,2211.20,Census Tract 2211.20,G5020,S,317504,0,+34.0421001,-118.2878972,TRUE,39,Pico - Union,43e937f4-895c-447f-a523-fef70b29aafb,8919383.03515625,27671.783274758945,2004-08-03,NA,NA,1
06,037,221302,06037221302,2213.02,Census Tract 2213.02,G5020,S,462145,0,+34.0417457,-118.3114921,TRUE,5,Harvard Heights,b99c778d-f019-4204-b398-73639f2f81f5,9021732.720703125,12487.650240138266,2000-08-02,NA,NA,1
06,037,221900,06037221900,2219,Census Tract 2219,G5020,S,409739,0,+34.0267694,-118.2895621,TRUE,14,Adams - Normandie,299c4124-030c-43d4-8e92-f49882ddfeb2,7334429.8564453125,11205.764843694373,2000-07-05,NA,NA,1
06,037,221820,06037221820,2218.20,Census Tract 2218.20,G5020,S,204263,0,+34.0304526,-118.2864985,TRUE,10,University Park,9f2c2a7e-261b-4a82-b784-1d7b2891f1cd,7985094.0810546875,15092.264326404684,2000-03-22,NA,NA,1
06,037,221810,06037221810,2218.10,Census Tract 2218.10,G5020,S,304336,0,+34.0306568,-118.2923015,TRUE,14,Adams - Normandie,299c4124-030c-43d4-8e92-f49882ddfeb2,7334429.8564453125,11205.764843694373,2000-07-05,NA,NA,1
06,037,224410,06037224410,2244.10,Census Tract 2244.10,G5020,S,453707,0,+34.0351392,-118.2799814,TRUE,10,University Park,9f2c2a7e-261b-4a82-b784-1d7b2891f1cd,7985094.0810546875,15092.264326404684,2000-03-22,NA,NA,1
06,037,224320,06037224320,2243.20,Census Tract 2243.20,G5020,S,290536,0,+34.0415884,-118.2808530,TRUE,39,Pico - Union,43e937f4-895c-447f-a523-fef70b29aafb,8919383.03515625,27671.783274758945,2004-08-03,NA,NA,1
06,037,224310,06037224310,2243.10,Census Tract 2243.10,G5020,S,180792,0,+34.0443840,-118.2827213,TRUE,39,Pico - Union,43e937f4-895c-447f-a523-fef70b29aafb,8919383.03515625,27671.783274758945,2004-08-03,NA,NA,1
06,037,189300,06037189300,1893,Census Tract 1893,G5020,S,1899970,0,+34.1112674,-118.3093146,TRUE,26,Hollywood Grove,3f3e4fac-bd28-4320-92d6-72053fc9524f,1366817.6298828125,6923.3191139537175,2011-05-04,NA,NA,1
