GEOID,hpoz_present,hpoz_name,cc_hpoz_approval_treatment,tract_name,pre_untreated,pre_treated,post_untreated,post_treated,no_hpoz_count
06037103300,TRUE,Stonehurst,2008-08-12,1033,56,0,44,0,0
06037106603,TRUE,Balboa Highlands,2010-02-12,1066.03,9,0,2,0,0
06037106641,TRUE,Balboa Highlands,2010-02-12,1066.41,0,0,1,0,0
06037106645,TRUE,Balboa Highlands,2010-02-12,1066.45,1,0,1,0,0
06037121102,TRUE,Stonehurst,2008-08-12,1211.02,6,1,74,0,0
06037127805,TRUE,Van Nuys,2005-11-16,1278.05,0,1,445,1,0
06037127806,TRUE,Van Nuys,2005-11-16,1278.06,56,1,483,0,0
06037128102,TRUE,Van Nuys,2005-11-16,1281.02,57,1,260,3,0
06037183101,TRUE,Highland Park - Garvanza,2010-09-22,1831.01,5,3,19,35,0
06037183103,TRUE,Highland Park - Garvanza,2010-09-22,1831.03,20,2,31,3,0
06037183104,TRUE,Highland Park - Garvanza,2010-09-22,1831.04,11,2,11,2,0
06037183701,TRUE,Highland Park - Garvanza,2010-09-22,1837.01,32,0,22,0,0
06037189300,TRUE,Hollywood Grove,2011-05-04,1893,20,1,18,0,0
06037189501,TRUE,Hollywood Grove,2011-05-04,1895.01,0,0,18,0,0
06037189801,TRUE,Sunset Square,2017-01-31,1898.01,540,12,124,0,0
06037189802,TRUE,Sunset Square,2017-01-31,1898.02,212,10,294,4,0
06037189905,TRUE,Sunset Square,2017-01-31,1899.05,7,1,1,1,0
06037190302,TRUE,Hollywood Grove,2011-05-04,1903.02,178,0,13,0,0
06037190303,TRUE,Hollywood Grove,2011-05-04,1903.03,133,0,54,0,0
06037191902,TRUE,Hancock Park,2006-08-01,1919.02,35,0,223,0,0
06037192300,TRUE,Windsor Square,2007-04-13,1923,82,244,20,0,0
06037192410,TRUE,Windsor Square,2007-04-13,1924.10,91,0,355,0,0
06037194102,TRUE,Sunset Square,2017-01-31,1941.02,68,0,14,0,0
06037199001,TRUE,Lincoln Heights,2004-08-02,1990.01,6,0,153,0,0
06037199002,TRUE,Lincoln Heights,2004-08-02,1990.02,223,0,866,0,0
06037199201,TRUE,Lincoln Heights,2004-08-02,1992.01,0,6,0,3,0
06037199202,TRUE,Lincoln Heights,2004-08-02,1992.02,17,0,35,2,0
06037199300,TRUE,Lincoln Heights,2004-08-02,1993,24,0,52,0,0
06037199400,TRUE,Lincoln Heights,2004-08-02,1994,9,0,12,2,0
06037199700,TRUE,Lincoln Heights,2004-08-02,1997,4,2,56,0,0
06037199801,TRUE,Lincoln Heights,2004-08-02,1998.01,4,4,9,3,0
06037199802,TRUE,Lincoln Heights,2004-08-02,1998.02,3,1,1,3,0
06037199900,TRUE,Lincoln Heights,2004-08-02,1999,7,0,224,0,0
06037201120,TRUE,El Sereno-Berkshire Craftsman,2016-11-29,2011.20,91,15,16,0,0
06037209510,TRUE,Pico - Union,2004-08-03,2095.10,62,0,58,0,0
06037209520,TRUE,Pico - Union,2004-08-03,2095.20,0,0,0,4,0
06037209810,TRUE,Pico - Union,2004-08-03,2098.10,0,6,0,0,0
06037209820,TRUE,Pico - Union,2004-08-03,2098.20,0,0,0,9,0
06037210010,TRUE,Pico - Union,2004-08-03,2100.10,17,0,134,0,0
06037211000,TRUE,Windsor Square,2007-04-13,2110,483,18,2010,12,0
06037211500,TRUE,Windsor Square,2007-04-13,2115,65,1,87,2,0
06037211701,TRUE,Windsor Square,2007-04-13,2117.01,67,2,36,0,0
06037212610,TRUE,Wilshire Park,2010-10-20,2126.10,53,15,524,0,0
06037212620,TRUE,Wilshire Park,2010-10-20,2126.20,30,0,266,1,0
06037212701,TRUE,Wilshire Park,2010-10-20,2127.01,0,30,252,64,0
06037212702,TRUE,Wilshire Park,2010-10-20,2127.02,3,168,99,15,0
06037212800,TRUE,Oxford Square,2017-02-01,2128,72,3,207,0,0
06037212900,TRUE,Country Club Park,2010-10-20,2129,0,4,0,13,0
06037213100,TRUE,Wilshire Park,2010-10-20,2131,394,6,260,20,0
06037213202,TRUE,Harvard Heights,2000-08-02,2132.02,2,0,377,0,0
06037213402,TRUE,Pico - Union,2004-08-03,2134.02,20,0,535,0,0
06037214100,TRUE,Hancock Park,2006-08-01,2141,5,2,17,1,0
06037214700,TRUE,Carthay Circle,1998-06-03,2147,0,0,335,0,0
06037215102,TRUE,Miracle Mile,2017-03-28,2151.02,94,0,46,0,0
06037216201,TRUE,Miracle Mile,2017-03-28,2162.01,682,47,53,0,0
06037216202,TRUE,Miracle Mile,2017-03-28,2162.02,8,11,0,0,0
06037216301,TRUE,Carthay Circle,1998-06-03,2163.01,0,3,0,9,0
06037216302,TRUE,Carthay Circle,1998-06-03,2163.02,0,0,642,110,0
